INST1,INST2,cosine
TRST36,TRST14,0.977655497618
TRST36,INBK58,0.99629323823
TRST36,INBK54,0.999433440139
TRST36,TRST19,0.991313356631
TRST36,INBK66,0.998802258925
TRST36,INBK12,0.987500159309
TRST36,FUND1,0.980927834484
TRST36,INBK11,0.996456578713
TRST36,FINC6,0.976411611617
TRST36,INBK29,0.988774018844
TRST36,FUND47,0.997506770704
TRST36,TRST29,0.993404005846
TRST36,INBK77,0.984409550032
TRST36,FINC14,0.0
TRST36,TRST17,0.991568681016
TRST36,FINC21,0.997900315373
TRST36,INBK15,0.993326505792
TRST36,TRST39,0.972323499136
TRST36,FUND18,0.982226290973
TRST36,INBK35,0.996410268221
TRST36,INSN7,0.99695595741
TRST36,INBK2,0.99833786143
TRST36,FUND10,0.998750396795
TRST36,INBK20,0.990253336329
TRST36,FUND28,0.988927971008
TRST36,TRST27,0.996595343012
TRST36,FINC38,0.999930432544
TRST36,FINC33,0.99952373166
TRST36,TRST25,0.987794505983
TRST36,TRST1,0.999999963314
TRST36,FINC11,0.999346870271
TRST36,INBK37,0.98911408579
TRST36,INBK74,0.985841613772
TRST36,INBK78,0.997141741182
TRST36,INBK42,0.995275910795
TRST36,QFII8,0.994743533226
TRST36,INBK34,0.989544695891
TRST36,FINC30,0.994402598489
TRST36,FINC37,1.0
TRST36,INBK48,0.991522164523
TRST36,INBK5,0.997512303264
TRST36,FINC7,0.997327055259
TRST36,QFII5,0.0
TRST36,TRST18,0.998492374879
TRST36,TRST22,0.997249849539
TRST36,INSN12,0.991903367507
TRST36,INBK75,0.995203250609
TRST36,INSN4,0.99556098045
TRST36,INBK8,0.995286178296
TRST36,TRST2,0.998395698824
TRST36,INBK14,0.0
TRST36,TRST30,0.99766708199
TRST36,INBK73,0.994865786551
TRST36,INSN9,0.998862240815
TRST36,INBK22,0.996079753741
TRST36,FUND19,0.995254245964
TRST36,FUND26,0.991638854337
TRST36,TRST24,0.998519502953
TRST36,TRST40,0.99777599541
TRST36,FUND27,0.976672784271
TRST36,FINC3,0.997317254034
TRST36,TRST41,0.992583366553
TRST36,INSN8,0.996935757018
TRST36,INBK33,0.992822152107
TRST36,FINC32,0.998235217458
TRST36,FUND55,0.992318301814
TRST36,FINC5,0.999016577951
TRST36,INBK19,0.974849512459
TRST36,INBK44,0.992750938442
TRST36,INBK56,0.978057862934
TRST36,FINC26,0.989503858823
TRST36,FUND57,0.99710543891
TRST36,FINC17,0.0
TRST36,INBK57,0.997156549557
TRST36,FUND54,0.985066549824
TRST36,FUND60,0.997535722608
TRST36,TRST21,0.997744528873
TRST36,FUND9,0.986062008914
TRST36,INBK3,0.997561297118
TRST36,FUND45,0.993146714046
TRST36,TRST32,0.998334053137
TRST36,FUND7,0.996592992167
TRST36,INBK13,0.975877297322
TRST36,INBK21,0.997201318596
TRST36,INBK23,0.0
TRST36,TRST11,0.981999487319
TRST36,INBK26,0.992859762891
TRST36,FUND23,0.987988594382
TRST36,QFII6,0.0
TRST36,INBK53,0.0
TRST36,FUND51,0.997373566043
TRST36,INBK41,0.0
TRST36,FINC2,0.99879373387
TRST36,TRST31,0.99478563648
TRST36,FUND32,0.993763560814
TRST36,FUND48,0.992256788121
TRST36,TRST23,0.994616186059
TRST36,FUND14,0.996103202077
TRST36,FUND17,0.981383569712
TRST36,INSN6,0.994854725744
TRST36,INBK50,0.992715699472
TRST36,INBK69,0.988408562952
TRST36,FUND58,0.992327433427
TRST36,INBK28,0.998119021499
TRST36,INSN5,0.993405133348
TRST36,TRST5,0.976768285199
TRST36,FUND34,0.997538278438
TRST36,FUND52,0.998413206122
TRST36,INSN11,0.995741734556
TRST36,INBK67,0.993924054906
TRST36,TRST3,0.995823533809
TRST36,INBK61,0.99928918963
TRST36,INBK27,0.997096516271
TRST36,INSN1,0.993533960204
TRST36,FUND15,0.990027577269
TRST36,FUND16,0.994119758356
TRST36,INBK32,0.0
TRST36,FUND20,0.989334953631
TRST36,FUND22,0.999399119201
TRST36,FUND30,0.998971744393
TRST36,FINC20,0.996080226837
TRST36,INBK59,0.99044523286
TRST36,FUND25,0.97158887802
TRST36,TRST15,0.971814617781
TRST36,INBK64,0.987445444526
TRST36,TRST4,0.0
TRST36,TRST26,0.0
TRST36,INBK46,0.990631157838
TRST36,FUND39,0.99508759971
TRST36,FUND11,0.99778909541
TRST36,INBK72,0.989987725746
TRST36,INBK55,0.99880715262
TRST36,FUND4,0.994324380626
TRST36,INBK9,0.996940830798
TRST36,FUND37,0.992921485345
TRST36,FUND46,0.994951503632
TRST36,FINC28,1.0
TRST36,INSN13,0.983934853958
TRST36,INBK71,0.986591957401
TRST36,FUND2,0.993949599607
TRST36,FUND12,0.990537203669
TRST36,FUND36,0.986205997991
TRST36,FUND56,0.991266352993
TRST36,TRST37,0.0
TRST36,FUND8,0.984732198645
TRST36,INBK43,0.0
TRST36,TRST16,0.99843479566
TRST36,TRST28,0.994417924013
TRST36,FUND53,0.977315908852
TRST36,INBK30,1.0
TRST36,INBK24,0.994891641035
TRST36,FUND43,0.992588811319
TRST36,TRST7,0.0
TRST36,TRST20,0.963250123104
TRST36,INBK49,0.999535365068
TRST36,FUND40,0.999091186397
TRST36,FUND5,0.987080331088
TRST36,INBK10,0.993359702286
TRST36,FINC24,0.995287871314
TRST36,FINC27,0.0
TRST36,INBK47,0.999683172225
TRST36,FUND42,0.988282329752
TRST36,FUND59,0.993971259024
TRST36,FUND6,0.994333843262
TRST36,TRST13,0.998269971948
TRST36,INBK7,0.986660284497
TRST36,FUND38,0.981484680559
TRST36,QFII3,0.0
TRST36,FUND21,0.980719482871
TRST36,FINC35,0.99861505632
TRST36,FUND44,0.0
TRST36,FINC25,0.991531353094
TRST36,INBK68,0.994696010017
TRST36,FINC19,0.995184622486
TRST36,INBK70,0.99722244536
TRST36,TRST8,0.996722560047
TRST36,INSN10,0.990153029809
TRST36,FUND13,0.0
TRST36,FINC18,0.995449719253
TRST36,INSN3,0.996229951359
TRST36,FUND24,0.0
TRST36,INBK76,0.98113592235
TRST36,TRST9,0.968305336107
TRST36,INBK80,0.0
TRST36,FUND50,1.0
TRST36,INBK63,0.988520932357
TRST36,QFII10,0.0
TRST36,FUND33,0.991854060365
TRST36,INBK18,0.997112866838
TRST36,QFII2,0.990848550937
TRST36,INBK60,0.984898084477
TRST36,INBK62,1.0
TRST36,INBK6,0.999320779028
TRST36,FUND31,1.0
TRST36,FINC31,0.0
TRST36,FINC34,0.0
TRST36,FINC4,0.0
TRST36,FUND49,0.0
TRST36,FUND61,0.0
TRST36,TRST33,0.0
TRST36,TRST38,0.0
TRST14,INBK58,0.984445270969
TRST14,INBK54,0.981435235019
TRST14,TRST19,0.964008062503
TRST14,INBK66,0.975654685527
TRST14,INBK12,0.984044590824
TRST14,FUND1,0.968826613958
TRST14,INBK11,0.983104034583
TRST14,FINC6,0.981588454882
TRST14,INBK29,0.973869060286
TRST14,FUND47,0.986227833261
TRST14,TRST29,0.979441155267
TRST14,INBK77,0.965420432409
TRST14,FINC14,0.0
TRST14,TRST17,0.985133266925
TRST14,FINC21,0.97683331204
TRST14,INBK15,0.977262372739
TRST14,TRST39,0.98646758683
TRST14,FUND18,0.968808732059
TRST14,INBK35,0.984449004344
TRST14,INSN7,0.989364763548
TRST14,INBK2,0.981248454046
TRST14,FUND10,0.98635691328
TRST14,INBK20,0.985944951707
TRST14,FUND28,0.976799870198
TRST14,TRST27,0.982172874816
TRST14,FINC38,0.986705865466
TRST14,FINC33,0.998351677008
TRST14,TRST25,0.977691331521
TRST14,TRST1,1.0
TRST14,FINC11,0.993488180283
TRST14,INBK37,0.982497057334
TRST14,INBK74,0.982488643565
