INST1,INST2,cosine
TRST36,TRST14,1.0
TRST36,INBK58,0.997692291781
TRST36,INBK54,0.996911521929
TRST36,TRST19,0.996983207607
TRST36,INBK66,0.988696927105
TRST36,INBK12,0.996086429299
TRST36,FUND1,1.0
TRST36,INBK11,0.999751719041
TRST36,FINC6,0.0
TRST36,INBK29,0.999295778193
TRST36,FUND47,0.0
TRST36,TRST29,0.993241825398
TRST36,INBK77,0.995684431188
TRST36,FINC14,0.0
TRST36,TRST17,0.0
TRST36,FINC21,0.998386168055
TRST36,INBK15,0.999614787269
TRST36,TRST39,0.997063798888
TRST36,FUND18,0.989486805816
TRST36,INBK35,0.995015703657
TRST36,INSN7,0.994936991172
TRST36,INBK2,0.991927748935
TRST36,FUND10,0.993051920939
TRST36,INBK20,0.994737844711
TRST36,FUND28,0.999947942423
TRST36,TRST27,1.0
TRST36,FINC38,0.998539399577
TRST36,FINC33,0.0
TRST36,TRST25,0.996636165009
TRST36,TRST1,1.0
TRST36,FINC11,1.0
TRST36,INBK37,0.999098862795
TRST36,INBK74,0.997002670037
TRST36,INBK78,0.0
TRST36,INBK42,0.9976746534
TRST36,QFII8,0.977037039909
TRST36,INBK34,0.994832245682
TRST36,FINC30,0.982906317944
TRST36,FINC37,0.0
TRST36,INBK48,0.998886679198
TRST36,INBK5,0.983913508148
TRST36,FINC7,0.996935692566
TRST36,QFII5,0.0
TRST36,TRST18,0.0
TRST36,TRST22,0.999356227888
TRST36,INSN12,0.0
TRST36,INBK75,0.997153099638
TRST36,INSN4,0.0
TRST36,INBK8,0.975593142099
TRST36,TRST2,0.0
TRST36,INBK14,0.998584746062
TRST36,TRST30,0.996048541964
TRST36,INBK73,0.992846568662
TRST36,INSN9,0.0
TRST36,INBK22,0.998660750585
TRST36,FUND19,0.983439325574
TRST36,FUND26,0.998406866492
TRST36,TRST24,1.0
TRST36,TRST40,1.0
TRST36,FUND27,0.998556880023
TRST36,FINC3,0.0
TRST36,TRST41,0.0
TRST36,INSN8,0.0
TRST36,INBK33,0.99211556076
TRST36,FINC32,0.998547985962
TRST36,FUND55,0.987336708753
TRST36,FINC5,0.997053696448
TRST36,INBK19,0.993316689206
TRST36,INBK44,0.988696899271
TRST36,INBK56,0.999571186481
TRST36,FINC26,1.0
TRST36,FUND57,0.99893483784
TRST36,FINC17,0.0
TRST36,INBK57,0.999956715709
TRST36,FUND54,0.0
TRST36,FUND60,0.996433152513
TRST36,TRST21,0.0
